contestant,Youtube Music Link,Musicbrainz link,youtube_views,youtube_subscribers,gender,area,genre,age_at_competition,manual_demographics
Kelly Clarkson,https://music.youtube.com/channel/UCpXP9-cHlJCMapSYCSZThbw,https://musicbrainz.org/artist/d339efbb-77b9-4147-ba9e-59f2f24550b2,628500330,46200,Female,"Burleson, Texas","pop, pop rock",19,False
Justin Guarini,https://music.youtube.com/channel/UCralI874LFvb1qq9xw7v9Gw,https://musicbrainz.org/artist/d7fff0a4-3adf-40fb-a6bc-09db41b4b618,947530,1700,Male,"Doylestown, Pennsylvania",pop,23,False
Nikki McKibbin,https://music.youtube.com/channel/UCEhHb7syb_Y0zC1Qga8WXuw,https://musicbrainz.org/artist/b4e7f6b3-537c-4a1c-b071-cd6c77938254,44337,306,Female,"Grand Prairie, Texas",,23,False
Tamyra Gray,https://music.youtube.com/channel/UCPunwHUFEvTFYWnYsqcE8nw,https://musicbrainz.org/artist/a3a062cb-9af8-481b-81d2-bf80a64ae1c9,73161,384,Female,"Norcross, Georgia","pop, soul",22,False
R. J. Helton,https://music.youtube.com/channel/UC6Agtw3oz48kcP7NrxqF6Dw?si=4aqB_vVzKQYmvxkX,https://musicbrainz.org/artist/ff8b9a4e-9244-4414-84da-86be4268b003,8321,62,Male,United States,,,True
Christina Christian,https://music.youtube.com/channel/UC_4wgAL_chmtO6s-cC3KE6w?si=FHYwDwDd4bbCnQkT,https://musicbrainz.org/artist/83943abc-d5bf-43e6-8726-6421db843dba,465,46,Female,"Miami, Florida",,20,False
Ryan Starr,,https://musicbrainz.org/artist/0a945f84-81da-45bd-89eb-bec92de5ac58,0,0,Female,"Sunland, California",,19,False
AJ Gil,https://music.youtube.com/channel/UCuQiKF5xuSNHrpu33IAFz_A?si=18_kmIdaBmBDtSiv,https://musicbrainz.org/artist/c07dd615-03c3-4e0f-9263-081eff124874,39,10,Male,United States,,,True
EJay Day,,,0,0,Male,"Lawrenceville, Georgia",,20,False
Jim Verraros,https://music.youtube.com/channel/UCteE6KeywW1ygq5ZERMa2rQ?si=mHQ2hQjT4DI2Wwic,https://musicbrainz.org/artist/b26f038b-aca0-42bb-aa9f-fd74ea008026,19150,219,Male,"Crystal Lake, Illinois",,19,False
Alexis Lopez,,,0,0,Female,"Modesto, California",,17,False
Angela Peel,,,0,0,Female,"Chicago, Illinois",,20,False
Kelli Glover,,https://musicbrainz.org/artist/a7c5b3bc-a5d4-49e7-b722-da3c0b514c2c,0,0,Female,"Cranford, New Jersey",,19,False
Christopher Aaron,,,0,0,Male,"Duluth, Georgia",,23,False
Alexandra Bachelier,,https://musicbrainz.org/artist/73eac51b-fc46-4289-b03f-db487a1dea08,0,0,Female,"Miami, Florida",,20,False
Jazmin Lowery,,,0,0,Female,"Hempstead, New York",,19,False
Kristin Holt,,,0,0,Female,"Plano, Texas",,20,False
Melanie Sanders,,,0,0,Female,"Vicksburg, Mississippi",,21,False
Natalie Burge,,,0,0,Female,"Morton, Illinois",,16,False
Rodesia Eaves,,,0,0,Female,"Columbia, South Carolina",,21,False
Tanesha Ross,,,0,0,Female,"Auburn, Washington",,24,False
Tenia Taylor,https://music.youtube.com/channel/UCptq7BfLc75o9pO4B7dQb1w?si=EWRz3mYIC0Fu11Z8,https://musicbrainz.org/artist/d621784f-985e-4363-9b40-036af779e991,177,7,Female,"Orange Park, Florida",,22,False
Adriel Herrera,,,0,0,Male,"Odessa, Texas",,18,False
Brad Estrin,,,0,0,Male,"Valley Village, California",,24,False
Chris Badano,,,0,0,Male,"Parsippany, New Jersey",,18,False
Gil Sinuet,,,0,0,Male,"Garfield, New Jersey",,23,False
Jamar,,,0,0,Male,"Atlanta, Georgia",,21,False
Justinn Waddell,https://music.youtube.com/channel/UC-QDgduQ-q7_tJRbnRoWt2w?si=ruU7juLIIKIF2ONW,,4018,36,Male,"Dayton, New Jersey",,20,False
Khaleef Chiles,,,0,0,Male,"Plainfield, New Jersey",,19,False
Mark Scott,,,0,0,Male,"Portage, Indiana",,18,False
Ruben Studdard,https://music.youtube.com/channel/UCeW1VEh3y7Ox9aRIwGCQa6Q,,115066760,211000,Male,"Birmingham, Alabama",,24,False
