Name,Age,Hometown,Season
EJay Day,20,"Lawrenceville, Georgia",1
Jim Verraros,19,"Chicago, Illinois",1
AJ Gil,17,"San Diego, California",1
Ryan Starr,19,"Sunland, California",1
Christina Christian,21,"Brooklyn, New York",1
R. J. Helton,21,"Cumming, Georgia",1
Tamyra Gray,23,"Takoma Park, Maryland",1
Nikki McKibbin,23,"Grand Prairie, Texas",1
Justin Guarini,23,"Doylestown, Pennsylvania",1
Kelly Clarkson,20,"Burleson, Texas",1
Vanessa Olivarez,22,"Atlanta, Georgia",2
Charles Grigsby,24,"Oberlin, Ohio",2
Julia DeMato,24,"Brookfield, Connecticut",2
Corey Clark,22,"Nashville, Tennessee",2
Rickey Smith,23,"Keene, Texas",2
Kimberly Caldwell,21,"Katy, Texas",2
Carmen Rasmusen,18,"Bountiful, Utah",2
Trenyce,23,"Memphis, Tennessee",2
Josh Gracin,22,"Oceanside, California",2
Kimberley Locke,25,"Nashville, Tennessee",2
Clay Aiken,24,"Raleigh, North Carolina",2
Ruben Studdard,24,"Birmingham, Alabama",2
Leah LaBelle,17,"Seattle, Washington",3
Matthew Rogers,25,"Rancho Cucamonga, California",3
Amy Adams,24,"Bakersfield, California",3
Camile Velasco,18,"Haiku, Hawaii",3
Jon Peter Lewis,24,"Rexburg, Idaho",3
Jennifer Hudson,22,"Chicago, Illinois",3
John Stevens,16,"East Amherst, New York",3
George Huff,22,"New Orleans, Louisiana",3
LaToya London,25,"Oakland, California",3
Jasmine Trias,17,"Mililani, Hawaii",3
Diana DeGarmo,16,"Snellville, Georgia",3
Fantasia Barrino,19,"High Point, North Carolina",3
Lindsey Cardinale,20,"Ponchatoula, Louisiana",4
Mikalah Gordon,17,"Las Vegas, Nevada",4
Jessica Sierra,19,"Tampa Bay, Florida",4
Nikko Smith[a],22,"Town & Country, Missouri",4
Nadia Turner,28,"Miami, Florida",4
Anwar Robinson,25,"East Orange, New Jersey",4
Constantine Maroulis,29,"New York, New York",4
Scott Savol,28,"Shaker Heights, Ohio",4
Anthony Fedorov,19,"Trevose, Pennsylvania",4
Vonzell Solomon,21,"Fort Myers, Florida",4
Bo Bice,29,"Helena, Alabama",4
Carrie Underwood,21,"Checotah, Oklahoma",4
Melissa McGhee,21,"Tampa, Florida",5
Kevin Covais,16,"Levittown, New York",5
Lisa Tucker,16,"Anaheim, California",5
Mandisa,29,"Antioch, Tennessee",5
Bucky Covington,28,"Rockingham, North Carolina",5
Ace Young,25,"Denver, Colorado",5
Kellie Pickler,19,"Albemarle, North Carolina",5
Paris Bennett,17,"Fayetteville, Georgia",5
Chris Daughtry,26,"McLeansville, North Carolina",5
Elliott Yamin,27,"Richmond, Virginia",5
Katharine McPhee,21,"Los Angeles, California",5
Taylor Hicks,29,"Birmingham, Alabama",5
