season,place,contestant,gender,total_viewership_millions
1,1,Kelly Clarkson,Female,267.64
1,11–14,Alexis Lopez,Female,17.61
1,11–14,Angela Peel,Female,17.61
1,11–14,Kelli Glover,Female,19.770000000000003
1,11–14,Christopher Aaron,Male,19.770000000000003
1,15–30,Alexandra Bachelier,Female,17.61
1,15–30,Jazmin Lowery,Female,17.61
1,15–30,Kristin Holt,Female,17.78
1,15–30,Melanie Sanders,Female,17.78
1,15–30,Natalie Burge,Female,19.770000000000003
1,15–30,Rodesia Eaves,Female,19.770000000000003
1,15–30,Tanesha Ross,Female,17.78
1,15–30,Tenia Taylor,Female,17.61
1,15–30,Adriel Herrera,Male,19.770000000000003
1,15–30,Brad Estrin,Male,19.770000000000003
1,15–30,Chris Badano,Male,17.78
1,15–30,Gil Sinuet,Male,17.61
1,15–30,Jamar,Male,17.61
1,15–30,Justinn Waddell,Male,19.770000000000003
1,15–30,Khaleef Chiles,Male,17.78
1,15–30,Mark Scott,Male,17.78
1,2,Justin Guarini,Male,267.64
1,3,Nikki McKibbin,Female,226.17999999999998
1,4,Tamyra Gray,Female,158.87
1,5,R. J. Helton,Male,127.49000000000001
1,6,Christina Christian,Female,102.77000000000001
1,7,Ryan Starr,Female,81.74000000000001
1,8,AJ Gil,Male,57.18
1,9–10,EJay Day,Male,37.45
1,9–10,Jim Verraros,Male,39.440000000000005
2,1,Ruben Studdard,Male,575.8000000000001
2,10,Julia DeMato,Female,156.8
2,11,Charles Grigsby,Male,118.00000000000001
2,12,Vanessa Olivarez,Female,60.0
2,13–17,Aliceyn Cooney,Female,76.10000000000001
2,13–17,Janine Falsone,Female,76.10000000000001
2,13–17,Nasheka Siddall,Female,76.10000000000001
2,13–17,Olivia Mojica,Female,76.10000000000001
2,13–17,Chip Days,Male,76.10000000000001
2,18–36,Ashley Hartman,Female,37.1
2,18–36,Candice Coleman,Female,38.7
2,18–36,Equoia Coleman,Female,19.7
2,18–36,Hadas,Female,38.7
2,18–36,Jennifer Fuentes,Female,38.7
2,18–36,Juanita Barber,Female,37.1
2,18–36,Kimberly Kelsey,Female,19.7
2,18–36,Meosha Denton,Female,39.400000000000006
2,18–36,Rebecca Bond,Female,38.7
2,18–36,Samantha Cohen,Female,19.7
2,18–36,Sylvia Chibiliti,Female,37.1
2,18–36,Bettis Richardson,Male,39.400000000000006
2,18–36,George Trice,Male,19.7
2,18–36,J.D. Adams,Male,39.400000000000006
2,18–36,Jacob John Smalley,Male,38.7
2,18–36,Jordan Segundo,Male,19.7
2,18–36,Louis Gazzara,Male,19.7
2,18–36,Patrick Fortson,Male,39.400000000000006
2,18–36,Patrick Lake,Male,37.1
2,2,Clay Aiken,Male,612.5
2,3,Kimberley Locke,Female,464.70000000000005
2,4,Joshua Gracin,Male,318.20000000000005
2,5,Trenyce,Female,312.3
2,6,Carmen Rasmusen,Female,271.7
2,7,Kimberly Caldwell,Female,231.6
2,8,Rickey Smith,Male,137.1
2,9,Corey Clark,Male,193.79999999999998
3,1,Fantasia Barrino,Female,698.3
3,10,Amy Adams,Female,194.39999999999998
3,11,Matthew Rogers,Male,144.3
3,12,Leah LaBelle,Female,99.19999999999999
3,13–16,Elizabeth LeTendre,Female,49.6
3,13–16,Katie Webber,Female,50.7
3,13–16,Suzy Vulaca,Female,44.8
3,13–16,Matthew Metzger,Male,50.7
3,17–32,Ashley Thomas,Female,50.7
3,17–32,Briana Ramirez-Rial,Female,47.3
3,17–32,Charly Lowry,Female,49.6
3,17–32,Heather Piccinni,Female,44.8
3,17–32,Kara Master,Female,47.3
3,17–32,Lisa Leuschner,Female,47.3
3,17–32,Lisa Wilson,Female,44.8
3,17–32,Marisa Joy,Female,47.3
3,17–32,Tiara Purifoy,Female,44.8
3,17–32,Eric Yoder,Male,49.6
3,17–32,Erskine Walcott,Male,50.7
3,17–32,Jesus Roman,Male,47.3
3,17–32,John Preator,Male,44.8
3,17–32,Jonah Moananu,Male,49.6
3,17–32,Marque Lynche,Male,50.7
3,17–32,Noel Roman,Male,47.3
3,2,Diana DeGarmo,Female,698.3
3,3,Jasmine Trias,Female,644.4
3,4,LaToya London,Female,455.59999999999997
3,5,George Huff,Male,405.29999999999995
3,6,John Stevens,Male,361.29999999999995
3,7,Jennifer Hudson,Female,322.59999999999997
3,8,Jon Peter Lewis,Male,276.9
3,9,Camile Velasco,Female,236.19999999999996
4,1,Carrie Underwood,Female,742.2
4,10,Jessica Sierra,Female,333.8999999999999
4,11,Mikalah Gordon,Female,282.59999999999997
4,12,Lindsey Cardinale,Female,213.89999999999998
4,13,Mario Vazquez,Male,202.0
4,14–16,Amanda Avila,Female,160.8
4,14–16,Janay Castine,Female,160.8
4,14–16,Travis Tucker,Male,148.9
4,17–20,Aloha Mischeaux,Female,106.2
4,17–20,Celina Rae,Female,106.2
4,17–20,David Brown,Male,98.10000000000001
4,17–20,Joseph Murena,Male,98.10000000000001
4,2,Bo Bice,Male,730.3
4,21–24,Melinda Lira,Female,77.89999999999999
